year,hires,terminations,net_change,net_change_percent
2020,356,5,351,98.60
2019,404,18,386,95.54
2018,424,18,406,95.75
2017,418,14,404,96.65
2016,424,22,402,94.81
2015,388,29,359,92.53
2014,381,34,347,91.08
2013,386,38,348,90.16
2012,426,39,387,90.85
2011,408,41,367,89.95
2010,409,43,366,89.49
2009,417,49,368,88.25
2008,409,50,359,87.78
2007,386,51,335,86.79
2006,433,71,362,83.60
2005,403,61,342,84.86
2004,426,69,357,83.80
2003,398,59,339,85.18
2002,407,56,351,86.24
2001,419,78,341,81.38
2000,110,18,92,83.64
